HS Code (HS 2012),Product-
Product Description,
Chapter Heading Subheading,Specific Rule
"CHAPTER 13: LAC; GUMS, RESINS AND",
13 OTHER VEGETABLE SAPS AND,
EXTRACTS,
"Lac; natural gums, resins, gum-resins and",
13.01,CC
"oleoresins (for example, balsams)",
Vegetable saps and extracts; pectic,
"substances, pectinates and pectates; agar-",
"13.02 agar and other mucilages and thickeners,",
"whether or not modified, derived from",
vegetable products,
- Vegetable saps and extracts,
1302.11 -- Opium,CC
1302.12 -- Of liquorice,CC
1302.13 -- Of hops,CC
,CC except
,from
1302.19 -- Other,
,subheading
,1211.20
"1302.20 - Pectic substances, pectinates and pectates",CC
"- Mucilages and thickeners, whether or not",
,
"modified, derived from vegetable products",
1302.31 -- Agar-agar,CC
"-- Mucilages and thickeners, whether or not",
"1302.32 modified, derived from locust beans, locust",CC
bean seeds or guar seed,
1302.39 -- Other,CC
CHAPTER 14: VEGETABLE PLAITING,
MATERIALS; VEGETABLE PRODUCTS,
14,CC
NOT ELSEWHERE SPECIFIED OR,
INCLUDED,
SECTION III,
ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE,
PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE,
WAXES,
CHAPTER 15: ANIMAL OR VEGETABLE,
FATS AND OILS AND THEIR CLEAVAGE,
15,
PRODUCTS; PREPARED EDIBLE FATS;,
ANIMAL OR VEGETABLE WAXES,
"Pig fat (including lard) and poultry fat, other",
15.01,CC
than that of heading 02.09 or 15.03,
"Fats of bovine animals, sheep or goats, other",
15.02,CC
than those of heading 15.03,
